time,data,median,LB,UB
12,61,61,61,61
13,84,41.9666002613337,0,106.006960205404
14,106,62.1216688258942,0,126.956012180198
15,94,87.7018941155522,14.8262815228697,151.079593843975
16,127,118.148619741231,41.9478233465865,182.239871168558
17,152,153.00742872717,68.4804952958704,214.819117531177
18,180,190.304892867844,93.7252026582312,253.717609450232
19,211,225.637398435971,120.611404491665,290.416185008841
20,243,259.544405719736,144.254519906376,323.733074830546
21,257,286.415555078538,166.051116322178,350.519719069886
22,337,304.637002144959,186.835440278772,368.932120626933
23,359,313.354580646956,202.115932090756,378.580869399016
24,354,312.271910287912,214.00923050091,376.726942261667
25,292,302.859624395899,220.053826383737,366.987640824779
26,238,286.060461085333,215.132260045417,351.939054902339
27,261,264.458884495221,197.58060094618,339.3821142503
28,220,239.057374380856,176.207266558104,328.246803603287
29,206,213.932289922624,150.66307332256,322.084999552366
30,199,186.871588727764,121.929951866169,314.295968933306
31,170,162.55067062854,97.2727861449374,308.027927485799
32,175,139.444100712424,74.2071731064174,297.886044867784
33,146,118.458557922433,53.4626680140987,288.698770393371
34,163,100.525279622093,34.2868519520188,277.542484454015
35,156,84.2267526969492,18.9015653701235,263.522290656879
