time,data,median,LB,UB
16,127,127,127,127
17,152,81.8813263715156,0,196.16282775784
18,180,117.245793255211,0,227.112938599273
19,211,157.742437172188,0,267.250328196982
20,243,201.840616936415,0,310.79288974111
21,257,245.921292371929,0,353.098572959407
22,337,282.953634402255,20.1076155962494,391.706767504072
23,359,309.262982989279,37.3514153429927,421.307446829908
24,354,321.553324032727,53.3411131817957,430.58423135761
25,292,321.017247420258,68.358464460885,430.094099392115
26,238,308.030207788901,81.3528015405352,416.693947857387
27,261,284.956959745819,96.5478776293812,394.17691658748
28,220,258.380639168366,103.023570727222,375.723395738025
29,206,228.553003255617,97.9531295118378,367.153295570388
30,199,197.554679195746,81.5819269553592,360.89052083373
31,170,168.904883669625,58.7038740499277,366.432782271024
32,175,142.947300243664,35.8921928922653,366.61876451707
33,146,119.517024822605,10.4805096294524,367.655976344978
34,163,100.025200197114,0,368.290015676417
35,156,82.8560742026762,0,363.689299425179
36,143,69.4043979394274,0,354.873116331562
37,103,57.4251145300447,0,350.532021555991
38,92,48.247822369611,0,344.852264440312
39,77,40.2968619122827,0,341.715521501828
