time,data,median,LB,UB
12,61,61,61,61
13,84,41.8417596487061,0,111.243324093223
14,106,61.7270384598322,0,131.837017125228
15,94,87.0898107163105,5.26807504548522,154.958765860168
16,127,117.195812348954,30.1108859519699,183.838996404008
17,152,151.58137965502,53.8811844808184,215.761309404533
18,180,188.354504380308,76.5550083649868,254.06529051342
19,211,223.68338537659,103.041074282662,290.236010411234
20,243,257.290903408504,125.70748583266,323.375994594582
21,257,283.923735408553,148.521422067235,349.952346304055
22,337,301.905448962939,168.938989906818,368.499674003882
23,359,311.205038844513,183.405532812006,378.316491287443
24,354,310.445378550817,197.752741407302,376.911642357088
25,292,301.575919159234,206.6996554492,368.298462798009
26,238,285.634327034571,205.657525376707,356.233374731095
27,261,264.95064295385,194.281195187958,349.774589620954
28,220,240.480395877812,175.366511643596,344.256316381036
29,206,215.966880608272,150.772666305811,339.285014554229
30,199,189.674098599961,122.482508867159,333.180813776459
31,170,165.591503733257,98.0441737656917,327.689625448331
32,175,142.63684820284,75.2149838802977,316.244858094396
33,146,121.729092107304,54.5929918806265,308.034392759917
34,163,103.986342240339,35.5165519300881,298.012958630737
35,156,87.7541682204952,19.846082977236,284.472484530851
