time,data,median,LB,UB
16,127,127,127,127
17,152,86.066915892368,0,181.642397177149
18,180,123.177295432483,25.5367837652822,220.771215568959
19,211,163.853174957054,61.6965685998046,265.315765500702
20,243,207.801092890792,108.421900499124,308.163282342457
21,257,253.098309897277,149.697256295296,353.295880486679
22,337,290.500686485643,187.437852998484,394.307853546169
23,359,317.089956900613,216.744533301113,424.210965292467
24,354,331.443712741062,227.687927654677,431.676751538469
25,292,331.446790374844,227.06062732615,436.246846513324
26,238,319.279492358684,217.235375729239,421.868782594824
27,261,293.962210174648,191.396618967928,393.820125810351
28,220,262.556927588931,161.424127261317,360.313006776681
29,206,229.637503206344,124.01734292823,328.409906990654
30,199,193.541031524453,90.8963631077985,295.984808504431
31,170,161.762922970308,62.2956630596962,263.783215969208
32,175,132.064936275153,32.8179786903426,233.644958642652
33,146,108.344187582777,4.62406467768243,208.262785463289
34,163,86.5894690139445,0,185.86080166552
35,156,66.8758249707268,0,171.026739457237
36,143,53.3195199815438,0,152.104754812666
37,103,42.1811049399204,0,143.719357128234
38,92,34.3628975344253,0,132.25750921218
39,77,26.5449458249768,0,124.41738603267
