time,data,median,LB,UB
12,61,61,61,61
13,84,38.6770518701541,0,150.239466778213
14,106,53.0821023347063,0,168.372506984561
15,94,73.95904478185,0,186.262141880989
16,127,96.1063451805514,0,210.057626723013
17,152,119.489159228994,4.34810219231863,235.609065730505
18,180,143.428435209048,28.2959024115751,263.992223655137
19,211,167.846979550241,48.5927956179632,284.659695696335
20,243,192.017089404126,72.143673708329,310.86266702878
21,257,211.899058355902,94.619694234467,334.514046854292
22,337,231.171279815962,113.030658855511,353.143950067085
23,359,248.971631886687,130.612411660515,369.515020773888
24,354,263.054417736791,149.643864843596,382.806384937418
25,292,270.352800422045,158.636397684678,390.667603113877
26,238,276.574794638658,159.675403858632,392.237325431011
27,261,279.733725103943,160.904297963094,400.306347025233
28,220,277.769295237495,157.408823345776,398.208177202415
29,206,273.175509437281,155.679207862812,395.449323291843
30,199,265.378911768789,141.82203899344,390.614826900858
31,170,259.767339665823,132.829058186665,383.403911973015
32,175,249.25299596397,122.028918169583,373.678804625654
33,146,238.132891818565,112.737681076363,364.149144420013
34,163,225.23742319088,103.701178395175,357.141246474123
35,156,212.857712837547,89.8323231400467,344.05850118733
