time,data,median,LB,UB
0,8,8,8,8
1,9,3.31702060553631,0,17.3733209835323
2,7,4.66867413293293,0,18.7905814294212
3,16,6.33650253399574,0,20.8190595571665
4,13,8.5374479525286,0,22.541111776828
5,12,11.2730773480185,0,25.6943422395001
6,22,14.789067773984,0.683241822040995,29.4889140726467
7,21,19.3713714004826,5.12337846663035,34.0225299352734
8,24,25.1879772683744,10.465417301536,39.5898876079495
9,28,32.0271627042987,17.7923699783628,47.0445356237657
10,50,40.4239372365552,25.5424795453327,55.3954137145314
11,53,50.5478301859916,35.9429445203584,65.2391610877286
12,61,62.4458579624788,46.716771793684,77.6653163408818
13,84,76.218441342618,60.8566453302577,91.7887825317411
14,106,92.5496205635964,76.852722877012,107.519071239045
15,94,110.897214585087,95.2601122431912,126.073502412121
16,127,131.576024154673,116.151039880065,146.978599078469
17,152,154.474817390053,139.127575848587,170.06634841081
18,180,179.69890035229,163.554563452622,195.864582376302
19,211,207.355587851568,189.030743196807,225.258294390922
20,243,236.9856818925,214.47541487677,257.164062569672
21,257,268.521760829665,237.330504432434,294.557231735795
22,337,302.062418059563,256.229311764358,334.826646164125
23,359,336.845171710848,271.115312645312,379.870135136036
